iter	Logloss
0	0.5828335904
1	0.4992631665
2	0.435713662
3	0.3875904866
4	0.3502882815
5	0.3221510884
6	0.3005732225
7	0.2836670116
8	0.2719076347
9	0.2624817441
10	0.2541642299
11	0.2475215287
12	0.2420993896
13	0.2378099903
14	0.2344668379
15	0.2316447272
16	0.2293201073
17	0.2276992409
18	0.2262208849
19	0.2249908641
20	0.2241567983
21	0.2234507751
22	0.2227750458
23	0.2221559108
24	0.2216004241
25	0.2213352429
26	0.2211656959
27	0.2208881981
28	0.2205602314
29	0.2202904385
30	0.2200610518
31	0.219903768
32	0.2197809068
33	0.2196737543
34	0.2196289572
35	0.2195425705
36	0.2194736335
37	0.2193850767
38	0.2192760808
39	0.2192199629
40	0.2191653698
41	0.2191200931
42	0.219093179
43	0.2190576077
44	0.2190345556
45	0.2190111435
46	0.2190109593
47	0.2189939915
48	0.2189464762
49	0.218927275
50	0.2188974072
51	0.2188579707
52	0.2188204005
53	0.2188052305
54	0.2187999449
55	0.2187998942
56	0.2187800808
57	0.2187800549
58	0.2187800118
59	0.2187751091
60	0.2187660755
61	0.2187657311
62	0.218759353
63	0.2187288382
64	0.218728796
65	0.2187043092
66	0.2186953943
67	0.2186951061
68	0.2186869849
69	0.2186638789
70	0.2186601022
71	0.2186594103
72	0.2186459834
73	0.2186230357
74	0.2186146181
75	0.2186123662
76	0.2186122091
77	0.2186003301
78	0.2185957476
79	0.2185898131
80	0.2185576176
81	0.2185261388
82	0.218523423
83	0.2185234221
84	0.218522992
85	0.2185123249
86	0.2185118571
87	0.2185046526
88	0.2184929727
89	0.2184926369
90	0.218458614
91	0.2184071339
92	0.2183855967
93	0.2183855692
94	0.2183691059
95	0.2183584917
96	0.2183569578
97	0.2183496024
98	0.2183496024
99	0.2183261602
