iter	Passed	Remaining
0	63	6251
1	118	5782
2	183	5948
3	256	6158
4	335	6373
5	391	6135
6	447	5946
7	502	5784
8	545	5510
9	585	5273
10	648	5248
11	709	5204
12	783	5243
13	852	5239
14	918	5202
15	1013	5319
16	1111	5426
17	1164	5306
18	1265	5394
19	1339	5357
20	1421	5349
21	1502	5325
22	1573	5267
23	1644	5208
24	1700	5101
25	1772	5045
26	1845	4990
27	1921	4940
28	1996	4888
29	2070	4831
30	2139	4762
31	2220	4718
32	2330	4730
33	2387	4634
34	2467	4581
35	2557	4546
36	2636	4489
37	2711	4424
38	2777	4344
39	2863	4295
40	2936	4225
41	3002	4146
42	3063	4060
43	3132	3986
44	3210	3923
45	3266	3834
46	3350	3777
47	3426	3712
48	3505	3648
49	3582	3582
50	3673	3529
51	3723	3437
52	3778	3350
53	3851	3281
54	3925	3211
55	3971	3120
56	4043	3050
57	4124	2986
58	4194	2915
59	4268	2845
60	4357	2786
61	4435	2718
62	4502	2644
63	4575	2573
64	4619	2487
65	4688	2415
66	4770	2349
67	4845	2280
68	4915	2208
69	4983	2135
70	5051	2063
71	5104	1984
72	5169	1911
73	5241	1841
74	5308	1769
75	5386	1700
76	5455	1629
77	5526	1558
78	5596	1487
79	5682	1420
80	5757	1350
81	5830	1279
82	5913	1211
83	5990	1141
84	6067	1070
85	6144	1000
86	6215	928
87	6280	856
88	6354	785
89	6440	715
90	6510	643
91	6581	572
92	6651	500
93	6721	429
94	6791	357
95	6880	286
96	6952	215
97	7023	143
98	7085	71
99	7156	0
