iter	Logloss	Accuracy	F1
0	0.5806838942	0.9394707386	0.9637811197
1	0.4951702809	0.9400409724	0.964088293
2	0.4317819114	0.9400620921	0.9641177363
3	0.3837070179	0.9400409724	0.964104639
4	0.3470984211	0.9400620921	0.9641177363
5	0.3188025435	0.9401043317	0.964140303
6	0.2972970391	0.9401043317	0.964140303
7	0.281065154	0.9401043317	0.964140303
8	0.2686142205	0.9401465712	0.9641583407
9	0.2595001731	0.9401888107	0.9641809167
10	0.2509826832	0.940167691	0.9641705346
11	0.2441049973	0.9401465712	0.9641574341
12	0.2387648865	0.9401254514	0.9641524942
13	0.234743119	0.9401254514	0.9641524942
14	0.2315442337	0.9401254514	0.9641524942
15	0.2286017374	0.9401254514	0.9641524942
16	0.2269160361	0.9401465712	0.964162873
17	0.2251751197	0.9401465712	0.964162873
18	0.2239071136	0.9401465712	0.964162873
19	0.2226505551	0.9401465712	0.964162873
20	0.2216096527	0.9401465712	0.964162873
21	0.2209533345	0.9401465712	0.964162873
22	0.2203888308	0.9401465712	0.964162873
23	0.219901179	0.9401465712	0.964162873
24	0.2195175151	0.9401465712	0.964162873
25	0.2191309536	0.9401465712	0.964162873
26	0.2188189899	0.9401465712	0.964162873
27	0.2185154146	0.940167691	0.9641750654
28	0.2182917512	0.940167691	0.9641750654
29	0.218033534	0.9403155294	0.9642495699
30	0.2178887338	0.9403155294	0.9642495699
31	0.2177754776	0.9403155294	0.9642495699
32	0.2176480673	0.9403155294	0.9642495699
33	0.2175818488	0.9403155294	0.9642495699
34	0.2175024717	0.9403155294	0.9642495699
35	0.2174019407	0.9403788887	0.9642861661
36	0.2173858925	0.9403788887	0.9642861661
37	0.2173627721	0.9403788887	0.9642861661
38	0.2173120485	0.9403788887	0.9642861661
39	0.2172497022	0.9404000084	0.9642983655
40	0.2171529407	0.9404000084	0.9642983655
41	0.2171067675	0.9403788887	0.9642852625
42	0.2170711339	0.9403788887	0.9642852625
43	0.2170685985	0.9403788887	0.9642852625
44	0.2170368856	0.9404000084	0.9642983655
45	0.2169567765	0.9404000084	0.9642983655
46	0.216907335	0.9404000084	0.9642983655
47	0.216885557	0.9404000084	0.9642983655
48	0.2168230241	0.9404000084	0.9642983655
49	0.2167816855	0.9404211282	0.9643105651
50	0.2167665274	0.940442248	0.9643236678
51	0.2167408748	0.9404633678	0.9643367702
52	0.2167408748	0.9404633678	0.9643367702
53	0.2167155716	0.940442248	0.9643236678
54	0.2166931308	0.940442248	0.9643236678
55	0.2166600351	0.9404211282	0.9643105651
56	0.21665861	0.9404211282	0.9643105651
57	0.2166445636	0.940442248	0.9643236678
58	0.2166442614	0.940442248	0.9643236678
59	0.2166122249	0.940442248	0.9643236678
60	0.2166079341	0.9404633678	0.9643358678
61	0.2165789661	0.940442248	0.9643236678
62	0.2165561143	0.940442248	0.9643236678
63	0.2165119382	0.940442248	0.9643236678
64	0.2164828348	0.9404633678	0.9643358678
65	0.2164734498	0.940442248	0.9643227651
66	0.2164643169	0.940442248	0.9643227651
67	0.2164365651	0.940442248	0.9643227651
68	0.2164365651	0.940442248	0.9643227651
69	0.2164027029	0.940442248	0.9643227651
70	0.2163681119	0.9404633678	0.9643358678
71	0.2163661283	0.9404633678	0.9643358678
72	0.216272257	0.9404844875	0.9643480681
73	0.2162362267	0.9405056073	0.9643602687
74	0.2162315158	0.9405056073	0.9643602687
75	0.2162143677	0.9405056073	0.9643602687
76	0.2162096334	0.9405056073	0.9643602687
77	0.2161657281	0.9405056073	0.9643602687
78	0.216150505	0.9405056073	0.9643602687
79	0.2161491546	0.9405056073	0.9643602687
80	0.2161405514	0.9405056073	0.9643602687
81	0.2161318507	0.9405056073	0.9643602687
82	0.2161169895	0.9405056073	0.9643602687
83	0.2161146167	0.9405056073	0.9643602687
84	0.2160636691	0.9405056073	0.9643548571
85	0.2160505564	0.9405056073	0.9643548571
86	0.2160434444	0.9405056073	0.9643548571
87	0.216033525	0.9405056073	0.9643548571
88	0.2160318799	0.9405056073	0.9643548571
89	0.21602443	0.9405056073	0.9643548571
90	0.2160192564	0.9405056073	0.9643548571
91	0.2160017094	0.9405267271	0.9643670598
92	0.2159420398	0.9405267271	0.9643670598
93	0.2159175376	0.9405267271	0.9643670598
94	0.2159015066	0.9404844875	0.9643417523
95	0.2159	0.9404844875	0.9643417523
96	0.2158929721	0.9404844875	0.9643417523
97	0.2158876633	0.9404844875	0.9643417523
98	0.2158563899	0.9404844875	0.9643417523
99	0.2158558044	0.9404844875	0.9643417523
