iter	Logloss_SumError	Logloss_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	34489.59153	59187	47623	50924	47933
1	29399.12062	59187	47623	50924	47933
2	25622.80761	59187	47623	50924	47933
3	22774.32904	59187	47623	50924	47933
4	20592.11134	59187	47623	50924	47933
5	18938.40954	59187	47623	50924	47933
6	17689.32692	59187	47670	50999	47933
7	16734.29491	59187	47670	50999	47933
8	16002.84172	59187	47670	50999	47933
9	15463.307	59187	47670	50999	47933
10	15020.00102	59187	47670	50999	47933
11	14621.01124	59187	47670	50999	47933
12	14311.88701	59187	47670	50999	47933
13	14051.34108	59187	47670	50999	47933
14	13859.37719	59187	47670	50999	47933
15	13692.48175	59187	47669	50998	47933
16	13563.9081	59187	47669	50998	47933
17	13455.97663	59187	47669	50998	47933
18	13382.45492	59187	47669	50998	47933
19	13315.27647	59187	47669	50998	47933
20	13254.0651	59187	47668	50997	47933
21	13209.72497	59187	47668	50997	47933
22	13173.68721	59187	47668	50997	47933
23	13136.61153	59187	47668	50997	47933
24	13113.69243	59187	47668	50997	47933
25	13096.92478	59187	47668	50997	47933
26	13075.3785	59187	47668	50997	47933
27	13066.47642	59187	47668	50997	47933
28	13052.15702	59187	47668	50997	47933
29	13045.63441	59187	47660	50978	47933
30	13037.19857	59187	47651	50957	47933
31	13031.07611	59187	47651	50957	47933
32	13024.70179	59187	47651	50953	47933
33	13021.6553	59187	47651	50953	47933
34	13017.99711	59187	47651	50952	47933
35	13013.13377	59187	47651	50952	47933
36	13008.56952	59187	47651	50952	47933
37	13007.42754	59187	47651	50952	47933
38	13005.05496	59187	47651	50951	47933
39	13001.01291	59187	47651	50951	47933
40	12998.78802	59187	47651	50951	47933
41	12994.44365	59187	47650	50949	47933
42	12994.18026	59187	47650	50949	47933
43	12992.31844	59187	47651	50950	47933
44	12990.1759	59187	47651	50950	47933
45	12990.13505	59187	47651	50950	47933
46	12990.05435	59187	47651	50950	47933
47	12988.91167	59187	47651	50950	47933
48	12988.02386	59187	47651	50950	47933
49	12986.5018	59187	47651	50949	47933
50	12985.27905	59187	47651	50949	47933
51	12983.96444	59187	47651	50949	47933
52	12982.71551	59187	47651	50949	47933
53	12981.73738	59187	47651	50949	47933
54	12981.35548	59187	47651	50949	47933
55	12980.92309	59187	47651	50949	47933
56	12980.79289	59187	47651	50949	47933
57	12979.00676	59187	47651	50949	47933
58	12978.64787	59187	47651	50949	47933
59	12978.61525	59187	47651	50949	47933
60	12976.20787	59187	47651	50949	47933
61	12975.54533	59187	47651	50949	47933
62	12975.51627	59187	47651	50949	47933
63	12975.43809	59187	47651	50949	47933
64	12975.11018	59187	47651	50949	47933
65	12974.3943	59187	47650	50947	47933
66	12973.14594	59187	47650	50947	47933
67	12970.53882	59187	47650	50947	47933
68	12970.29804	59187	47650	50947	47933
69	12969.84924	59187	47650	50947	47933
70	12969.3447	59187	47650	50947	47933
71	12969.34484	59187	47650	50947	47933
72	12969.20549	59187	47650	50947	47933
73	12969.03525	59187	47650	50947	47933
74	12968.76598	59187	47650	50947	47933
75	12968.94275	59187	47650	50947	47933
76	12968.9445	59187	47650	50947	47933
77	12967.45304	59187	47650	50947	47933
78	12967.06989	59187	47649	50946	47933
79	12966.23191	59187	47649	50946	47933
80	12966.23949	59187	47649	50947	47933
81	12966.2396	59187	47649	50947	47933
82	12966.23961	59187	47649	50947	47933
83	12966.02748	59187	47649	50946	47933
84	12965.84704	59187	47649	50946	47933
85	12965.37989	59187	47649	50946	47933
86	12965.05743	59187	47649	50946	47933
87	12965.05743	59187	47649	50946	47933
88	12965.07963	59187	47649	50946	47933
89	12965.08446	59187	47649	50946	47933
90	12965.01713	59187	47649	50946	47933
91	12964.88923	59187	47647	50943	47933
92	12964.46075	59187	47647	50943	47933
93	12964.12393	59187	47647	50943	47933
94	12963.94599	59187	47647	50943	47933
95	12963.94598	59187	47647	50943	47933
96	12963.94564	59187	47647	50943	47933
97	12963.31868	59187	47645	50939	47933
98	12963.12475	59187	47645	50939	47933
99	12962.86841	59187	47645	50939	47933
