iter	Passed	Remaining
0	112	11151
1	221	10877
2	275	8921
3	318	7650
4	350	6655
5	391	6126
6	455	6048
7	500	5759
8	550	5566
9	587	5288
10	630	5098
11	676	4957
12	745	4989
13	867	5331
14	981	5559
15	1121	5889
16	1193	5826
17	1261	5745
18	1329	5669
19	1393	5573
20	1531	5762
21	1576	5587
22	1620	5423
23	1667	5280
24	1716	5149
25	1761	5014
26	1807	4886
27	1852	4763
28	1938	4746
29	1987	4636
30	2092	4658
31	2355	5006
32	2400	4872
33	2454	4764
34	2501	4644
35	2541	4518
36	2572	4379
37	2626	4285
38	2666	4170
39	2708	4062
40	2748	3954
41	2787	3850
42	2827	3747
43	2865	3646
44	2904	3549
45	2940	3451
46	2979	3360
47	3018	3270
48	3058	3183
49	3095	3095
50	3132	3009
51	3171	2927
52	3191	2829
53	3229	2750
54	3268	2674
55	3312	2602
56	3344	2523
57	3381	2448
58	3426	2381
59	3475	2316
60	3514	2247
61	3551	2176
62	3590	2108
63	3638	2046
64	3674	1978
65	3719	1916
66	3757	1850
67	3796	1786
68	3814	1713
69	3846	1648
70	3882	1585
71	3913	1521
72	3950	1461
73	3988	1401
74	4023	1341
75	4058	1281
76	4085	1220
77	4122	1162
78	4159	1105
79	4181	1045
80	4230	992
81	4265	936
82	4318	884
83	4347	828
84	4384	773
85	4469	727
86	4507	673
87	4543	619
88	4575	565
89	4613	512
90	4647	459
91	4682	407
92	4717	355
93	4753	303
94	4789	252
95	4843	201
96	4879	150
97	4919	100
98	4957	50
99	4983	0
