iter	Logloss
0	0.3098246674
1	0.2420480988
2	0.2257659799
3	0.2198228672
4	0.2184450009
5	0.2177432585
6	0.2175266666
7	0.2172409697
8	0.2171897659
9	0.2166771395
10	0.2165884749
11	0.2165875542
12	0.2165669404
13	0.2165504117
14	0.2165502713
15	0.216536662
16	0.2165305691
17	0.2164497921
18	0.2164486452
19	0.2164369497
20	0.2164288293
21	0.216395557
22	0.216267669
23	0.2162676657
24	0.2162617196
25	0.2161153168
26	0.2160469477
27	0.2159343243
28	0.215746369
29	0.2157453431
30	0.2157423862
31	0.2157180208
32	0.2156583631
33	0.215502745
34	0.215353844
35	0.2153068229
36	0.2149677778
37	0.2149154842
38	0.2145155527
39	0.2145016402
40	0.2144242483
41	0.2143318719
42	0.2143085584
43	0.2143011394
44	0.2142496836
45	0.2141478927
46	0.2140233987
47	0.2139871634
48	0.2139845531
49	0.2139636643
50	0.2138967791
51	0.2138966692
52	0.2138468537
53	0.2137783333
54	0.2136839018
55	0.213633817
56	0.2136280366
57	0.2135479075
58	0.2135434834
59	0.2135263554
60	0.2135164008
61	0.2134572133
62	0.2134435151
63	0.2134334895
64	0.2134302643
65	0.2133885689
66	0.2133810916
67	0.2132068447
68	0.2131336325
69	0.2131152878
70	0.2130849262
71	0.2130630533
72	0.2129738764
73	0.2128613334
74	0.212844843
75	0.2127696703
76	0.2127330567
77	0.2127329693
78	0.2126931287
79	0.2126228067
80	0.2124915297
81	0.2124104562
82	0.2123985851
83	0.21239836
84	0.2123957773
85	0.2123464531
86	0.2122990243
87	0.2122806833
88	0.2122543624
89	0.212254137
90	0.2122538452
91	0.2121838192
92	0.2121082289
93	0.2120027297
94	0.2119241415
95	0.211819114
96	0.2118050556
97	0.2117389661
98	0.2117384309
99	0.2117362189
