iter	Passed	Remaining
0	57	5704
1	98	4846
2	129	4175
3	190	4581
4	254	4841
5	296	4639
6	366	4866
7	477	5495
8	526	5327
9	572	5155
10	622	5033
11	683	5012
12	828	5546
13	877	5392
14	905	5132
15	939	4931
16	961	4693
17	1007	4589
18	1036	4418
19	1073	4295
20	1208	4546
21	1262	4475
22	1313	4396
23	1344	4258
24	1378	4134
25	1444	4110
26	1561	4223
27	1651	4245
28	1712	4192
29	1773	4137
30	1837	4089
31	1882	4000
32	1946	3951
33	2010	3902
34	2071	3846
35	2133	3793
36	2235	3805
37	2326	3796
38	2391	3740
39	2466	3700
40	2527	3637
41	2645	3652
42	2719	3604
43	2799	3563
44	2853	3487
45	2912	3419
46	3047	3436
47	3096	3354
48	3233	3365
49	3299	3299
50	3408	3274
51	3480	3212
52	3530	3131
53	3588	3057
54	3651	2987
55	3735	2935
56	3786	2856
57	3836	2777
58	3901	2711
59	3968	2645
60	4034	2579
61	4208	2579
62	4256	2499
63	4302	2419
64	4351	2343
65	4401	2267
66	4458	2196
67	4505	2120
68	4607	2070
69	4661	1997
70	4707	1922
71	4753	1848
72	4800	1775
73	4847	1703
74	4893	1631
75	4940	1560
76	4984	1488
77	5032	1419
78	5077	1349
79	5127	1281
80	5191	1217
81	5254	1153
82	5322	1090
83	5364	1021
84	5423	957
85	5469	890
86	5628	840
87	5707	778
88	5764	712
89	5809	645
90	5859	579
91	5925	515
92	5986	450
93	6056	386
94	6155	323
95	6220	259
96	6280	194
97	6326	129
98	6370	64
99	6417	0
